SOURCE	TARGET	count
2	2	63
2	7	98
2	6	135
2	0	175
2	M5	99
2	15	98
2	12	115
2	SAN	98
7	2	98
7	7	40
7	6	118
7	0	147
7	M5	95
7	15	80
7	12	88
7	SAN	91
6	2	135
6	7	118
6	6	76
6	0	158
6	M5	87
6	15	94
6	12	111
6	SAN	97
0	2	175
0	7	147
0	6	158
0	0	79
0	M5	119
0	15	85
0	12	126
0	SAN	105
M5	2	99
M5	7	95
M5	6	87
M5	0	119
M5	M5	47
M5	15	53
M5	12	98
M5	SAN	102
15	2	98
15	7	80
15	6	94
15	0	85
15	M5	53
15	15	27
15	12	67
15	SAN	61
12	2	115
12	7	88
12	6	111
12	0	126
12	M5	98
12	15	67
12	12	45
12	SAN	79
SAN	2	98
SAN	7	91
SAN	6	97
SAN	0	105
SAN	M5	102
SAN	15	61
SAN	12	79
SAN	SAN	52
