"SOURCE"	"TARGET"	"count"
"2"	"2"	63
"2"	"7"	98
"2"	"6"	135
"2"	"3"	97
"2"	"M7"	10
"2"	"0"	175
"2"	"15"	98
"7"	"2"	98
"7"	"7"	40
"7"	"6"	118
"7"	"3"	74
"7"	"M7"	8
"7"	"0"	147
"7"	"15"	80
"6"	"2"	135
"6"	"7"	118
"6"	"6"	76
"6"	"3"	97
"6"	"M7"	15
"6"	"0"	158
"6"	"15"	94
"3"	"2"	97
"3"	"7"	74
"3"	"6"	97
"3"	"3"	35
"3"	"M7"	3
"3"	"0"	140
"3"	"15"	77
"M7"	"2"	10
"M7"	"7"	8
"M7"	"6"	15
"M7"	"3"	3
"M7"	"M7"	1
"M7"	"0"	20
"M7"	"15"	5
"0"	"2"	175
"0"	"7"	147
"0"	"6"	158
"0"	"3"	140
"0"	"M7"	20
"0"	"0"	79
"0"	"15"	85
"15"	"2"	98
"15"	"7"	80
"15"	"6"	94
"15"	"3"	77
"15"	"M7"	5
"15"	"0"	85
"15"	"15"	27
