"regular_unique_genes"	"regular_unique_transcripts"	"mt.content.x"	"mt_unique_genes"	"mt_unique_transcripts"	"mt.content.y"	"rep"	"x"	"y"	"new_x"	"new_y"	"pixel_x"	"pixel_y"	"selected"	"selected_mt"	"added_in_old"	"added_in_new"	"diff_spots"	"combined_selection"	"sample_id"
"10x10x1"	NA	NA	NA	NA	NA	NA	"10"	10	1	9.89	0.99	3630.7	817.3	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x10x10"	3066	8104	0	3654	10574	0.0534329487421978	"10"	10	10	9.88	10	3629.7	2787.7	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x10x11"	2471	5952	0	2971	7872	0.0503048780487805	"10"	10	11	9.81	10.82	3614.7	2965.1	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x10x12"	3116	7656	0	3700	9945	0.0511814982403218	"10"	10	12	9.86	11.96	3625.6	3214.3	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x10x13"	2647	6396	0	3241	8432	0.058111954459203	"10"	10	13	9.9	12.91	3634.4	3423.6	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x10x14"	NA	NA	NA	NA	NA	NA	"10"	10	14	9.86	13.96	3625.1	3652.2	1	0	0	1	"new"	1	"E2_1000L2_CN74"
"10x10x15"	2001	4185	0	2403	5615	0.059839715048976	"10"	10	15	9.9	14.95	3634.4	3867.5	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x10x16"	2659	5437	0	3140	6982	0.0431108564881123	"10"	10	16	9.9	15.95	3634.4	4087.5	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x10x17"	NA	NA	NA	NA	NA	NA	"10"	10	17	9.91	16.97	3636.3	4311.1	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x10x18"	1854	5072	0	2143	6088	0.0325229960578187	"10"	10	18	9.82	17.95	3615	4524.3	1	1	0	0	"both"	1	"E2_1000L2_CN74"
