	Atrial_cardiomyocytes	Capillary_endothelium	Cardiac_neural_crest_cells_Schwann_progenitor_cells	Endothelium_pericytes_adventitia	Epicardial_cells	Epicardium-derived_cells	Erythrocytes_11	Erythrocytes_6	Fibroblast-like_cardiac_skeleton_connective_tissue	Fibroblast-like_larger_larger_vascular_development	Fibroblast-like_smaller_vascular_development	Immune_cells	Myoz2-enriched_cardiomyocytes	Smooth_muscle_cells_fibroblast-like	Ventricular_cardiomyocytes
X11x13	0.026733685	0.049665265	1.0878177e-11	0.085677646	0.11909068	0.16609906	0.013681522	1.0844554e-11	0.03311872	0.09382153	1.0910759e-11	0.0625758	0.21876775	0.04092711	0.089841306
X11x14	0.012793765	0.05408905	0.0633782	0.09996602	0.030495923	0.023845708	0.033401746	0.013236141	0.0012021939	9.903755e-12	0.06637709	0.099197015	0.27262482	0.050912578	0.17847969
X11x15	9.518937e-12	0.03594864	0.02874931	0.1425722	0.034515936	0.0905353	0.012126211	9.507088e-12	0.018798292	0.051902786	0.05410034	0.046650708	0.2517445	0.016922718	0.21543305
X11x16	0.05081838	0.020407764	0.051331624	0.09756235	0.015220012	0.10764376	8.388737e-12	0.018404394	8.429348e-12	0.037772667	0.07599621	0.039174467	0.26443225	0.028343182	0.19289297
X11x17	0.031047713	0.015877295	0.06640631	0.089864835	0.025767483	0.09469108	0.011172168	0.007868269	0.023541525	0.055992067	0.055855885	0.0659294	0.26608312	0.023189094	0.16671367
X11x18	0.002497132	0.013158771	8.880914e-12	0.12343763	0.04186479	0.17103587	0.022171346	0.0060911025	0.009919666	0.06814342	0.025880063	0.05226975	0.24315004	0.074202135	0.14617828
X11x19	0.032529622	0.04031181	0.033049252	0.04289531	0.17488675	0.21871284	0.0411447	1.2874067e-11	0.051052786	0.026355106	0.020145783	0.032619037	0.14537954	0.06333755	0.07757989
X11x22	0.25263956	0.0365042	0.067546114	0.07969962	0.14167069	0.1043062	0.034904998	1.1161905e-11	0.012722781	1.1219513e-11	0.022841617	0.052719254	0.15365626	0.023296308	0.017492358
X12x11	0.031102218	0.018555172	0.057463348	0.04526332	0.09423278	0.10156029	0.014662623	1.4888693e-11	0.01977304	0.052967787	0.10012467	0.074217096	0.21658419	0.05554549	0.11794792
X12x12	2.3770687e-11	0.08895784	0.04898406	0.044079766	0.034301907	3.354375e-11	0.076192565	0.009028709	0.016308544	0.09985954	0.038155094	0.051930584	0.28685632	0.012824132	0.19252096
X12x13	0.04861558	0.15240276	0.057265036	0.064756475	0.018066961	0.01935266	5.5011807e-12	5.5106002e-12	0.018502181	0.04941188	0.06549356	0.030807422	0.24891505	0.01301789	0.21339254
X12x14	0.027984282	0.10829533	0.04264118	0.062447034	0.02984054	7.219767e-12	0.012161285	7.1827097e-12	0.013940273	0.06323735	0.02592644	0.07073868	0.2606534	0.06398226	0.218152
X12x15	0.016328406	0.1664368	0.056731675	0.059784085	5.801908e-12	0.018640883	5.753222e-12	5.7671537e-12	0.026800772	0.04073974	0.006678038	0.038579218	0.2609217	0.047869056	0.26048955
X12x16	0.060441148	0.13119003	0.03854112	0.05626779	0.010380854	0.039176416	5.8349796e-12	5.841828e-12	5.855795e-12	0.07787181	0.023234926	0.05310732	0.26316446	0.02185505	0.224769
