	Atrial_cardiomyocytes	Capillary_endothelium	Cardiac_neural_crest_cells_Schwann_progenitor_cells	Endothelium_pericytes_adventitia	Epicardial_cells	Epicardium-derived_cells	Erythrocytes_11	Erythrocytes_6	Fibroblast-like_cardiac_skeleton_connective_tissue	Fibroblast-like_larger_larger_vascular_development	Fibroblast-like_smaller_vascular_development	Immune_cells	Myoz2-enriched_cardiomyocytes	Smooth_muscle_cells_fibroblast-like	Ventricular_cardiomyocytes
X17x10	0.016952755	0.015466137	1.5472816e-11	0.13420777	0.18427792	0.22398017	0.031368878	1.5513065e-11	1.5556797e-11	0.06867377	0.022791877	0.045549266	0.09501682	0.037162382	0.12455229
X17x11	0.010265907	0.014591109	0.06833078	0.104401834	0.10954411	0.35194004	0.053533114	0.007779131	0.014780563	0.024293223	1.2419022e-11	0.04978143	0.052458122	0.05316703	0.08513361
X17x15	0.19425969	0.01995579	0.06175018	0.036102887	0.044006016	0.13863802	0.11596201	0.040926296	0.016078796	1.7800096e-11	1.7796499e-11	0.09433294	0.122541286	0.09188414	0.02356192
X17x16	0.07563234	8.48897e-12	0.025101904	0.03652556	0.010367936	0.009504618	0.29672945	0.3814669	0.018847274	8.4597945e-12	8.482705e-12	0.031198382	0.08272161	0.031904094	8.500489e-12
X17x17	0.30628738	0.06262793	9.811639e-12	0.07292462	0.017846547	0.08074537	0.019719303	9.822949e-12	0.007822778	0.018114455	9.849496e-12	0.034705542	0.22888444	0.15032157	9.81119e-12
X17x8	0.030319752	0.014300604	2.0045379e-11	0.106142186	0.032572515	0.24194305	0.06370119	0.030238902	0.030655274	2.004599e-11	0.054939657	0.062533736	0.13596213	0.031095902	0.16559514
X17x9	0.0063252323	0.021283241	0.060240947	0.09759015	0.07105498	0.26744083	0.035204675	1.8566404e-11	1.8696607e-11	1.867234e-11	0.034330815	0.046557263	0.14497657	0.06683221	0.14816311
X18x10	0.01887107	0.03565001	0.03532395	0.035475545	0.000865547	0.032555055	0.025270604	1.654281e-11	0.040187657	0.032233566	0.019905945	0.02271224	0.3283109	0.08349022	0.28914762
X18x11	0.03048388	0.029445605	1.9824113e-11	0.14905237	1.9768721e-11	1.9763595e-11	0.036050703	1.9711453e-11	1.9906106e-11	0.074541606	0.041821007	0.018305715	0.22239263	0.115006	0.2829005
X18x12	0.03206951	0.0049599702	1.5704943e-11	0.14855415	0.014550845	0.33485255	0.03678785	1.569045e-11	1.5787807e-11	0.076096155	1.57891e-11	0.06980357	1.5785907e-11	0.052096613	0.23022874
X18x15	0.29800192	0.13880967	0.04920613	1.3325731e-11	0.0074939444	0.038187247	0.13945645	0.041990064	1.3363375e-11	1.3323419e-11	1.3327587e-11	0.06103613	0.17705719	0.03987426	0.008886957
X18x16	0.04005917	0.013531547	0.06994679	0.031815913	0.0035996563	0.00766492	0.2991158	0.29924324	0.02534483	6.6003266e-12	0.007187468	0.10688111	0.06798463	0.020321876	0.007303034
