	Atrial_cardiomyocytes	Capillary_endothelium	Cardiac_neural_crest_cells_Schwann_progenitor_cells	Endothelium_pericytes_adventitia	Epicardial_cells	Epicardium-derived_cells	Erythrocytes_11	Erythrocytes_6	Fibroblast-like_cardiac_skeleton_connective_tissue	Fibroblast-like_larger_larger_vascular_development	Fibroblast-like_smaller_vascular_development	Immune_cells	Myoz2-enriched_cardiomyocytes	Smooth_muscle_cells_fibroblast-like	Ventricular_cardiomyocytes
X10x10	0.04904707	0.11887581	6.273338e-12	0.01990012	6.2368543e-12	0.054000743	0.025226327	6.249572e-12	0.064221434	0.037541572	0.037502587	0.031697676	0.24945861	0.0693711	0.24315682
X10x11	0.059035696	0.050481856	0.021258024	0.019322762	0.0154542755	6.700078e-12	0.124903545	0.20917654	0.066372946	0.04604109	6.715712e-12	0.033745088	0.17154093	0.06523932	0.11742796
X10x12	0.06214905	0.11563297	5.9925138e-12	0.043413226	0.006070196	0.034250926	0.050289366	0.08375735	0.041233752	0.03454184	0.013877648	0.037362263	0.18022971	0.061162833	0.23602894
X10x13	0.13642226	0.040329393	0.06710887	0.064730905	0.00840714	0.07240197	0.028451476	7.713944e-12	0.05434223	0.03563523	7.78749e-12	7.773926e-12	0.13316736	0.07109336	0.28790978
X10x15	0.14568692	0.070689596	1.1530983e-11	0.052278288	0.012447589	1.1573309e-11	0.036040906	1.1513598e-11	0.08361602	0.046979565	0.024027115	1.15431735e-11	0.19682874	0.095217906	0.23618732
X10x16	0.05091859	0.010156116	0.057616975	0.17022754	8.205517e-12	0.16436966	8.138633e-12	0.020993333	0.027688086	0.09853014	0.030877365	0.031402893	0.103491955	0.11261837	0.12110894
X10x18	0.054358497	0.034601744	0.020527044	7.0355327e-12	0.027529504	0.019894928	0.31843767	0.3181631	0.009084986	7.009133e-12	0.010776373	0.06471096	0.055844575	0.053356644	0.012714049
X10x19	0.4064805	0.084792905	0.049096413	0.04575802	1.5992725e-11	1.600887e-11	0.1101485	1.5913916e-11	1.6022158e-11	1.5915009e-11	1.6010885e-11	1.6012322e-11	0.08369462	0.16678534	0.053243738
X10x20	0.09073912	0.047190335	0.050282326	0.013115387	6.788687e-12	6.813905e-12	0.3068065	0.30721426	0.0039338167	6.775065e-12	0.009424117	0.036969565	0.04219501	0.08712595	0.005003516
X10x21	0.50538373	0.016140437	0.047427785	0.02592497	1.975593e-11	0.008480272	0.032596808	1.9622423e-11	1.9789344e-11	0.029364826	1.972577e-11	0.031174535	0.13103119	0.14016725	0.0323083
